time_diff,avg_abs_snow_diff
283,1.925925926
281,0.592592593
279,0.551724138
277,1.2
275,0.714285714
273,1.333333333
271,1.357142857
269,0.730769231
267,0.785714286
265,1.692307692
263,0.413793103
261,0.346153846
259,1.555555556
257,0.666666667
255,0.275862069
253,0.56
251,0.642857143
249,0.592592593
247,0.678571429
245,0.5
243,0.25
241,1.185185185
239,0.793103448
237,0.461538462
235,1.142857143
233,0.535714286
231,0.551724138
229,1.576923077
227,0.620689655
225,0.607142857
223,1.892857143
221,0.851851852
219,0.344827586
217,0.481481481
215,0.75862069
213,0.407407407
211,1.107142857
209,0.535714286
207,0.586206897
205,0.923076923
203,0.482758621
201,0.357142857
199,1.035714286
197,0.666666667
195,0.344827586
193,0.851851852
191,0.413793103
189,0.333333333
187,0.428571429
185,0.571428571
183,0.206896552
181,0.807692308
179,0.482758621
177,0.321428571
175,0.678571429
173,0.37037037
171,0.344827586
169,0.555555556
167,0.275862069
165,0.222222222
163,0.464285714
161,0.392857143
159,0.24137931
157,0.846153846
155,0.448275862
153,0.571428571
151,0.821428571
149,0.444444444
147,0.344827586
145,1.035714286
143,0.620689655
141,0.185185185
139,0.896551724
137,0.620689655
135,0.482758621
133,1.666666667
131,0.6
129,0.357142857
127,1.75
125,0.535714286
123,0.310344828
121,0.851851852
119,0.793103448
117,0.296296296
115,0.607142857
113,0.714285714
111,0.206896552
109,0.64
107,0.689655172
105,0.321428571
103,0.75
101,0.576923077
99,0.275862069
97,0.740740741
95,0.75862069
93,0.307692308
91,1.142857143
89,0.678571429
87,0.24137931
85,0.5
83,0.827586207
81,0.25
79,0.892857143
77,0.44
75,0.310344828
73,0.666666667
71,0.827586207
69,0.24
67,0.857142857
65,0.642857143
63,0.24137931
61,0.217391304
59,0.551724138
57,0.25
55,0.714285714
53,0.333333333
51,0.24137931
49,1
47,0.75862069
45,0.166666667
43,0.928571429
41,0.607142857
39,0.379310345
37,0.272727273
35,0.551724138
33,0.285714286
31,0.392857143
29,0.173913043
27,0.310344828
25,0.62962963
23,0.413793103
21,0.130434783
19,0.607142857
17,0.357142857
15,0.103448276
13,0.095238095
11,0.172413793
9,0.068965517
7,0.172413793
5,0.045454545
3,0
1,0
-1,0
-3,0
