time_diff,avg_snow_diff
283,1.407407407
281,0.148148148
279,0.206896552
277,0.64
275,0.357142857
273,0.888888889
271,0.571428571
269,0.346153846
267,0.357142857
265,1.076923077
263,-0.068965517
261,0.192307692
259,0.814814815
257,0.37037037
255,-0.206896552
253,0.16
251,0.214285714
249,0.148148148
247,0.035714286
245,0.346153846
243,-0.107142857
241,0.592592593
239,0.448275862
237,0.230769231
235,0.785714286
233,0.392857143
231,0.206896552
229,1.423076923
227,0.137931034
225,0.25
223,1.321428571
221,0.777777778
219,-0.068965517
217,0.407407407
215,0.620689655
213,0.037037037
211,0.821428571
209,0.25
207,0.310344828
205,0.461538462
203,0.137931034
201,-0.071428571
199,0.821428571
197,0.296296296
195,-0.137931034
193,0.777777778
191,0.206896552
189,-0.037037037
187,0.071428571
185,0.428571429
183,0.068965517
181,0.423076923
179,0.206896552
177,0.178571429
175,0.607142857
173,0.222222222
171,-0.068965517
169,0.407407407
167,0.137931034
165,-0.074074074
163,0.392857143
161,0.25
159,-0.034482759
157,0.692307692
155,0.379310345
153,0.214285714
151,0.607142857
149,0.148148148
147,0.068965517
145,0.821428571
143,0.344827586
141,-0.111111111
139,0.689655172
137,0.413793103
135,0.206896552
133,1.444444444
131,0.466666667
129,0.071428571
127,1.535714286
125,0.392857143
123,0.034482759
121,0.777777778
119,0.586206897
117,-0.074074074
115,0.535714286
113,0.5
111,0
109,0.32
107,0.551724138
105,-0.035714286
103,0.678571429
101,0.269230769
99,0.068965517
97,0.518518519
95,0.620689655
93,0.076923077
91,1.142857143
89,0.607142857
87,-0.103448276
85,0.416666667
83,0.689655172
81,-0.035714286
79,0.821428571
77,0.2
75,-0.034482759
73,0.666666667
71,0.620689655
69,-0.24
67,0.785714286
65,0.357142857
63,0.034482759
61,-0.130434783
59,0.275862069
57,0.035714286
55,0.5
53,0
51,0.103448276
49,0.777777778
47,0.482758621
45,0
43,0.785714286
41,0.464285714
39,0.172413793
37,-0.090909091
35,0.482758621
33,0.142857143
31,0.25
29,0.173913043
27,0.172413793
25,0.555555556
23,0.344827586
21,0.043478261
19,0.392857143
17,0.142857143
15,-0.034482759
13,0
11,0.034482759
9,0
7,0.034482759
5,-0.045454545
3,0
1,0
-1,0
-3,0
