x,y
125,1.178571429
123,0.896551724
121,1.185185185
119,1.172413793
117,0.925925926
115,1.071428571
113,1
111,0.655172414
109,0.96
107,0.931034483
105,0.678571429
103,0.785714286
101,0.769230769
99,0.551724138
97,0.851851852
95,0.827586207
93,0.538461538
91,0.678571429
89,0.857142857
87,0.620689655
85,0.625
83,0.724137931
81,0.5
79,0.857142857
77,0.84
75,0.448275862
73,0.814814815
71,0.724137931
69,0.4
67,0.714285714
65,0.678571429
63,0.448275862
61,0.608695652
59,0.75862069
57,0.5
55,0.607142857
53,0.583333333
51,0.448275862
49,0.703703704
47,0.586206897
45,0.291666667
43,0.571428571
41,0.607142857
39,0.310344828
37,0.318181818
35,0.586206897
33,0.392857143
31,0.392857143
29,0.304347826
27,0.379310345
25,0.37037037
23,0.24137931
21,0.304347826
19,0.357142857
17,0.214285714
15,0.172413793
13,0.047619048
11,0.24137931
9,0.068965517
7,0
5,0.227272727
3,0
